,曲目,曲师,难度,定数,分数,ptt,评级,离线
1,Dreadnought,Mastermind (xi + nora2r),FTR,9.8,9909955,11.35,EX+,
2,A Wandering Melody of Love,からとPαnchii少年 feat.はるの,FTR,9.7,9920254,11.3,EX+,
3,BLRINK,Sta,FTR,9.7,9917955,11.29,EX+,
4,Dreamin' Attraction!!,翡乃イスカ,FTR,9.6,9925697,11.23,EX+,
5,trappola bewitching,gmtn.,FTR,10.0,9842823,11.21,EX,
6,Avant Raze,Sampling Masters MEGA,FTR,9.6,9921046,11.21,EX+,
7,Sulfur,ぺのれり,FTR,9.7,9890876,11.15,EX,
8,AI[UE]OON,MYUKKE.,FTR,9.5,9930066,11.15,EX+,
9,Sheriruth,Team Grimoire,FTR,10.2,9783757,11.15,AA,
10,Crystal Gravity,Tanchiky vs. siromaru,FTR,9.4,9949169,11.15,EX+,
11,Memory Forest,ETIA.,FTR,9.8,9867941,11.14,EX,
12,The Message,Jun Kuroda,FTR,9.7,9884945,11.12,EX,
13,Impure Bird,MIssionary,FTR,9.4,9944832,11.12,EX+,
14,Lapis,SHIKI,FTR,9.4,9941033,11.11,EX+,
15,Fracture Ray,Sakuzyo,PRS,9.5,9919318,11.1,EX+,
16,CROSS†OVER,HyuN feat. LyuU,FTR,9.4,9936997,11.08,EX+,
17,Faint Light (Arcaea Edit),Taishi,FTR,9.1,9994535,11.07,EX+,
18,Iconoclast,Yamajet,FTR,9.1,9994460,11.07,EX+,
19,Astral tale,Noah,FTR,9.6,9893321,11.07,EX,
20,Illegal Paradise,gmtn. (witch's slave),FTR,9.6,9892518,11.06,EX,
21,Yosakura Fubuki,A.SAKA,FTR,9.4,9930984,11.05,EX+,
22,ΟΔΥΣΣΕΙΑ,Sober Bear,FTR,9.5,9909415,11.05,EX+,
23,Syro,Mitomoro,FTR,9.3,9948882,11.04,EX+,
24,SAIKYO STRONGER,REDALiCE vs USAO,PRS,9.4,9925957,11.03,EX+,
25,Cybernecia Catharsis,Tanchiky,FTR,9.5,9905635,11.03,EX+,
26,Blocked Library,影虎。,FTR,9.3,9941955,11.01,EX+,
27,DataErr0r,Cosmograph,FTR,9.5,9901341,11.01,EX+,9927529.0
28,Flyburg and Endroll,アリスシャッハと魔法の楽団,FTR,9.0,10000899,11.0,PM,
29,Evening in Scarlet,Freezer feat.妃苺,FTR,9.5,9897773,10.99,EX,
30,Feels So Right feat. Renko,Mysteka,FTR,9.3,9937501,10.99,EX+,
31,Empire of Winter,Street,FTR,9.0,9995422,10.98,EX+,
32,Red and Blue,Silentroom,FTR,9.4,9912018,10.96,EX+,
33,Blue Rose,Cosmograph,FTR,9.1,9969446,10.95,EX+,
34,#1f1e33,かめりあ(EDP),PRS,9.2,9948588,10.94,EX+,
35,Alice's Suitcase,Endorfin.,FTR,9.1,9965863,10.93,EX+,
36,Grievous Lady,Team Grimoire vs Laur,PRS,9.3,9925697,10.93,EX+,
37,Chronostasis,黒皇帝,FTR,9.1,9962608,10.91,EX+,
38,MAHOROBA,Zekk,FTR,9.5,9879973,10.9,EX,
39,Give Me a Nightmare,アリスシャッハと魔法の楽団,FTR,9.0,9979802,10.9,EX+,
